method,n_qubits,run,budget,shots_used,iterations,energy,ground_energy,relative_gap
iCANS,7,3,10000,9240,11,0.07465339519919373,-0.5499388054378248,1.135748549585912
iCANS,7,3,20000,19320,23,0.0446214649394088,-0.5499388054378248,1.0811389640050661
iCANS,7,3,50000,49560,59,-0.03143498692690706,-0.5499388054378248,0.9428391184326762
iCANS,7,3,100000,99960,119,-0.1350690006146812,-0.5499388054378248,0.7543926719134719
iCANS,7,4,5000,4200,5,-0.03736645789984891,-0.5499388054378248,0.9320534257077926
iCANS,7,4,10000,9240,11,-0.049165047117165864,-0.5499388054378248,0.9105990582388092
iCANS,7,4,20000,19320,23,-0.07015119488300317,-0.5499388054378248,0.8724381800495904
iCANS,7,4,50000,49560,59,-0.12978416337447632,-0.5499388054378248,0.7640025361164489
iCANS,7,4,100000,99960,119,-0.21692119658795048,-0.5499388054378248,0.6055539371962445
iCANS,7,5,5000,4200,5,-0.0555664712607337,-0.5499388054378248,0.8989588101234366
iCANS,7,5,10000,9240,11,-0.0702441319809563,-0.5499388054378248,0.8722691847049553
iCANS,7,5,20000,19320,23,-0.095425321859705,-0.5499388054378248,0.8264801084845547
iCANS,7,5,50000,49560,59,-0.16034507840420736,-0.5499388054378248,0.7084310530213426
iCANS,7,5,100000,99960,119,-0.2449863616013638,-0.5499388054378248,0.5545206863401431
iCANS,7,6,5000,4200,5,-0.03855420525358307,-0.5499388054378248,0.929893644761277
iCANS,7,6,10000,9240,11,-0.05228602203291503,-0.5499388054378248,0.9049239269607673
iCANS,7,6,20000,19320,23,-0.08524140782331763,-0.5499388054378248,0.8449983762185066
iCANS,7,6,50000,49560,59,-0.1682914386685237,-0.5499388054378248,0.6939815175716847
iCANS,7,6,100000,99960,119,-0.26887907027014407,-0.5499388054378248,0.5110745639124695
iCANS,7,7,5000,4200,5,-0.026759959245834335,-0.5499388054378248,0.9513401146068793
iCANS,7,7,10000,9240,11,-0.03173027108902553,-0.5499388054378248,0.9423021783964418
iCANS,7,7,20000,19320,23,-0.04116081248387758,-0.5499388054378248,0.9251538315229308
iCANS,7,7,50000,49560,59,-0.07249328103681386,-0.5499388054378248,0.8681793677405625
iCANS,7,7,100000,99960,119,-0.16493296640522323,-0.5499388054378248,0.7000885102590377
iCANS,7,8,5000,4200,5,-0.07375764005203833,-0.5499388054378248,0.8658802773641017
iCANS,7,8,10000,9240,11,-0.08346853698399438,-0.5499388054378248,0.8482221364292665
iCANS,7,8,20000,19320,23,-0.09946859303194969,-0.5499388054378248,0.8191278883243029
iCANS,7,8,50000,49560,59,-0.1382584882352447,-0.5499388054378248,0.7485929582198287
iCANS,7,8,100000,99960,119,-0.23537341030196968,-0.5499388054378248,0.5720007244904622
iCANS,7,9,5000,4200,5,0.047022159571328284,-0.5499388054378248,1.085504349040967
iCANS,7,9,10000,9240,11,0.02254283604143764,-0.5499388054378248,1.0409915354554593
iCANS,7,9,20000,19320,23,-0.016210481481193993,-0.5499388054378248,0.9705231176252633
iCANS,7,9,50000,49560,59,-0.10737313051096346,-0.5499388054378248,0.8047544027639946
iCANS,7,9,100000,99960,119,-0.2549655526304707,-0.5499388054378248,0.5363746836750608
gCANS,3,0,5000,4680,13,-0.34160983188767924,-0.920476372171203,0.6288771312164199
gCANS,3,0,10000,9720,27,-0.47074860795995754,-0.920476372171203,0.4885815408280777
gCANS,3,0,20000,19800,55,-0.7848209726474682,-0.920476372171203,0.14737521095055742
gCANS,3,0,50000,49602,130,-0.9147889491479759,-0.920476372171203,0.0061787821992776645
gCANS,3,0,100000,99676,182,-0.9173142012373098,-0.920476372171203,0.003435363502524664
gCANS,3,1,5000,4680,13,-0.5225890431753293,-0.920476372171203,0.43226240349585976
gCANS,3,1,10000,9720,27,-0.7235908887156164,-0.920476372171203,0.21389520623020092
gCANS,3,1,20000,19800,55,-0.9019218152410081,-0.920476372171203,0.02015755916301118
gCANS,3,1,50000,49450,115,-0.9176716964002857,-0.920476372171203,0.003046982905494625
gCANS,3,1,100000,100000,153,-0.9195403941539126,-0.920476372171203,0.0010168408941151061
gCANS,3,2,5000,4680,13,-0.28425152427353606,-0.920476372171203,0.69119085196826
gCANS,3,2,10000,9720,27,-0.45335431654357067,-0.920476372171203,0.5074785945083993
gCANS,3,2,20000,19800,55,-0.8100438886483899,-0.920476372171203,0.11997318656026656
gCANS,3,2,50000,49708,128,-0.9153822967511075,-0.920476372171203,0.0055341729283932975
gCANS,3,2,100000,100000,172,-0.9176244590490673,-0.920476372171203,0.0030983012800303482
gCANS,3,3,5000,4680,13,-0.41370262197246865,-0.920476372171203,0.5505559572413202
gCANS,3,3,10000,9720,27,-0.5902548404322774,-0.920476372171203,0.3587506879291264
gCANS,3,3,20000,19800,55,-0.7759929906672947,-0.920476372171203,0.15696587753046132
gCANS,3,3,50000,49972,131,-0.9090330592275442,-0.920476372171203,0.01243194642429178
gCANS,3,3,100000,100000,187,-0.9144628595051801,-0.920476372171203,0.006533044027885623
gCANS,3,4,5000,4680,13,-0.3888473206162809,-0.920476372171203,0.5775586072904024
gCANS,3,4,10000,9720,27,-0.6388837311858436,-0.920476372171203,0.3059205532034937
gCANS,3,4,20000,19800,55,-0.807437999485495,-0.920476372171203,0.12280420888922458
gCANS,3,4,50000,49508,123,-0.907424241368032,-0.920476372171203,0.01417975648020589
gCANS,3,4,100000,100000,164,-0.912341794789398,-0.920476372171203,0.008837355990591387
gCANS,3,5,5000,4680,13,-0.6210535566051965,-0.920476372171203,0.3252911477344426
gCANS,3,5,10000,9720,27,-0.7199081886024437,-0.920476372171203,0.21789606950547005
gCANS,3,5,20000,19800,55,-0.8509203763545851,-0.920476372171203,0.07556521592460928
gCANS,3,5,50000,49252,112,-0.9047235193447619,-0.920476372171203,0.017113804658867644
gCANS,3,5,100000,99676,155,-0.9130025107613036,-0.920476372171203,0.008119558128657082
gCANS,3,6,5000,4680,13,-0.1937653980296536,-0.920476372171203,0.7894944358293485
gCANS,3,6,10000,9720,27,-0.4908849324731104,-0.920476372171203,0.46670555886706805
gCANS,3,6,20000,19800,55,-0.7656950412826073,-0.920476372171203,0.16815350786625874
